RENTAL_ZONE_HAL_ID;"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";POI_LONG_DISTANCE_TRAINS_X;POI_SUBURBAN_TRAINS_X;POI_UNDERGROUND_X;"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";ACTIVE_X;"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
53486;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Tal (Sparkassenstr)";"88009940";"";"Call a Bike";"";1;"J";"11,579183350200000";"48,136185428500000"
53487;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Tal (Sparkassenstr)";"88009942";"";"Call a Bike";"";1;"J";"11,577447052700000";"48,136756857200000"
53648;"Standort";"";"normal";"Frankfurt am Main";"DE";"0";0;0;0;"Call a Bike";"Goldsteinstraße / Hahnstraße";"6052800001";"";"Call a Bike";"";1;"J";"8,632937601500000";"50,084668562200000"
53984;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Nordbahnhof";"1132";"";"Call a Bike";"";1;"J";"13,388015630000000";"52,531995100000000"
54006;"Standort";"Lynarstraße";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Wedding / Lynarstraße";"1823";"";"Call a Bike";"";1;"J";"13,365508000000000";"52,542382000000000"
54007;"Standort";"S-Bahnhof";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S+U-Bhf. Zoologischer Garten / Hardenbergplatz";"1700";"";"Call a Bike";"";1;"J";"13,333814000000000";"52,507448000000000"
54013;"Standort";"S-Bhf. Bellevue-Hinter dem Asia-Imbiss";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Bellevue - Hinter dem Asia-Imbiss";"1600";"";"Call a Bike";"";1;"J";"13,348080000000000";"52,520040000000000"
54016;"Standort";"U-Bhf.Alexanderplatz / Alexa.";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S+U-Bhf. Alexanderplatz - Alexa";"1164";"Call a Bike";"Call a Bike";"";1;"J";"13,414966460000000";"52,520637440000000"
54030;"Standort";"S-Bahnhof, Karl-Marx-Straße";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Neukölln / Karl-Marx-Straße";"1408";"";"Call a Bike";"";1;"J";"13,441477000000000";"52,469951000000000"
54063;"Standort";"Hanne-Sobek-Platz";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Gesundbrunnen / Hanne-Sobek-Platz";"1809";"";"Call a Bike";"";1;"J";"13,387427000000000";"52,549390000000000"
54069;"Standort";"S-Bahnhof, Saalestraße";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"S-Bhf. Sonnenallee";"1410";"";"Call a Bike";"";1;"J";"13,455552000000000";"52,474241000000000"
54176;"Standort";"Warschauer Straße";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Frankfurter Tor / Warschauer Str.";"1395";"";"Call a Bike";"";1;"J";"13,453413000000000";"52,515632000000000"
54180;"Standort";"U-Bahnhof";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Klosterstraße";"1163";"";"Call a Bike";"";1;"J";"13,412241000000000";"52,517758000000000"
54183;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Hausvogteiplatz / Niederwallstraße";"1173";"";"Call a Bike";"";1;"J";"13,397001030000000";"52,513015060000000"
54184;"Standort";"Krausenstr.";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Stadtmitte / Krausenstraße";"1186";"";"Call a Bike";"";1;"J";"13,390295510000000";"52,509518450000000"
54185;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Mohrenstraße";"1185";"";"Call a Bike";"";1;"J";"13,384378550000000";"52,511843020000000"
54186;"Standort";"Leipziger Platz";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"U-Bhf. Potsdamer Platz / Leipziger Platz";"1182";"";"Call a Bike";"";1;"J";"13,379341360000000";"52,509792700000000"
